paper_title,paper_authors
Searching for Actions on the Hyperbole,"Teng Long, Pascal Mettes, Heng Tao Shen, Cees G. M. Snoek"
Hierarchical Scene Coordinate Classification and Regression for Visual Localization,"Xiaotian Li, Shuzhe Wang, Yi Zhao, Jakob Verbeek, Juho Kannala"
Deep Snake for Real-Time Instance Segmentation,"Sida Peng, Wen Jiang, Huaijin Pi, Xiuli Li, Hujun Bao, Xiaowei Zhou"
SG-NN: Sparse Generative Neural Networks for Self-Supervised Scene Completion of RGB-D Scans,"Angela Dai, Christian Diller, Matthias Niessner"
Symmetry and Group in Attribute-Object Compositions,"Yong-Lu Li, Yue Xu, Xiaohan Mao, Cewu Lu"
Learning Identity-Invariant Motion Representations for Cross-ID Face Reenactment,"Po-Hsiang Huang, Fu-En Yang, Yu-Chiang Frank Wang"
Stereoscopic Flash and No-Flash Photography for Shape and Albedo Recovery,"Xu Cao, Michael Waechter, Boxin Shi, Ye Gao, Bo Zheng, Yasuyuki Matsushita"
SurfelGAN: Synthesizing Realistic Sensor Data for Autonomous Driving,"Zhenpei Yang, Yuning Chai, Dragomir Anguelov, Yin Zhou, Pei Sun, Dumitru Erhan, Sean Rafferty, Henrik Kretzschmar"
Unsupervised Domain Adaptation via Structurally Regularized Deep Clustering,"Hui Tang, Ke Chen, Kui Jia"
What Can Be Transferred: Unsupervised Domain Adaptation for Endoscopic Lesions Segmentation,"Jiahua Dong, Yang Cong, Gan Sun, Bineng Zhong, Xiaowei Xu"
What Machines See Is Not What They Get: Fooling Scene Text Recognition Models With Adversarial Text Images,"Xing Xu, Jiefu Chen, Jinhui Xiao, Lianli Gao, Fumin Shen, Heng Tao Shen"
Augment Your Batch: Improving Generalization Through Instance Repetition,"Elad Hoffer, Tal Ben-Nun, Itay Hubara, Niv Giladi, Torsten Hoefler, Daniel Soudry"
Learning to Generate 3D Training Data Through Hybrid Gradient,"Dawei Yang, Jia Deng"
Learning to Learn Single Domain Generalization,"Fengchun Qiao, Long Zhao, Xi Peng"
